startYear,count
1878,3
1881,1
1887,3
1888,3
1891,1
1892,1
1894,12
1895,11
1896,66
1897,100
1898,140
1899,119
1900,148
1901,141
1902,149
1903,219
1904,133
1905,148
1906,150
1907,192
1908,360
1909,422
1910,542
1911,651
1912,695
1913,799
1914,760
1915,669
1916,566
1917,492
1918,388
1919,354
1920,375
1921,331
1922,272
1923,261
1924,261
1925,280
1926,271
1927,288
1928,296
1929,293
1930,313
1931,266
1932,248
1933,224
1934,251
1935,273
1936,275
1937,295
1938,264
1939,267
1940,217
1941,245
1942,221
1943,221
1944,181
1945,169
1946,235
1947,232
1948,329
1949,457
1950,678
1951,923
1952,1039
1953,1055
1954,1552
1955,1502
1956,1504
1957,1745
1958,2096
1959,2026
1960,2220
1961,2325
1962,2237
1963,2565
1964,2862
1965,3229
1966,3207
1967,3360
1968,3045
1969,3561
1970,3462
1971,3656
1972,3634
1973,3697
1974,3604
1975,3592
1976,3626
1977,3464
1978,3403
1979,3295
1980,3555
1981,3430
1982,3678
1983,3743
1984,3903
1985,4090
1986,4028
1987,4214
1988,4243
1989,4632
1990,4966
1991,4842
1992,5152
1993,5521
1994,5912
1995,6574
1996,6767
1997,7343
1998,7993
1999,8398
2000,8723
2001,9660
2002,10274
2003,10996
2004,12426
2005,13857
2006,15077
2007,16869
2008,18169
2009,18948
2010,21657
2011,24248
2012,27807
2013,29515
2014,31589
2015,33376
2016,35619
2017,37501
2018,38414
2019,37652
2020,36206
2021,42431
2022,41331
2023,39048
2024,36457
2025,30597
2026,5839
2027,55
2028,7
2033,1
